movies,one-line,votes,gross,director,stars_only,action,adventure,animation,biography,comedy,crime,documentary,drama,family,fantasy,film noir,game show,history,horror,music,musical,mystery,news,reality tv,romance,sci fi,short,sport,talk show,thriller,unspecified,war,western,movie_duration,content_Court,content_Moyen,content_Standard,content_Long,content_Träs long,content_Movie,content_TV Movie,content_TV Short,content_TV Special,content_Unknown,content_Video,content_Video Game,rating
2.6661349841842754,7.062464821382576,-0.19766729971165556,-0.10334709505070018,2189,449,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,FAUX,FAUX,VRAI,FAUX,FAUX,VRAI,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,6.5
9.538838838838839,7.052725806628667,-0.20851533962236599,-0.10334709505070018,3666,4129,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,VRAI,FAUX,FAUX,FAUX,FAUX,VRAI,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,7.9
4.518619982033172,6.680679713593505,-0.17786485974841787,-0.10236332955121892,3218,6251,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FAUX,FAUX,VRAI,FAUX,FAUX,VRAI,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,4.6
7.596496496496497,7.191537670816527,-0.2065314400218947,-0.10334709505070018,3635,4834,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,VRAI,FAUX,FAUX,FAUX,FAUX,VRAI,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,7.7
6.422769379009662,7.249892105289344,-0.21054537642284826,-0.10334709505070018,2315,1553,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,VRAI,FAUX,FAUX,FAUX,FAUX,VRAI,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,6.8
4.733686435218476,6.5729712414605865,-0.20762335375548743,-0.10334709505070018,2315,5130,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FAUX,FAUX,VRAI,FAUX,FAUX,VRAI,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,7.3
2.1132045845122125,6.435020963112713,-0.20613158428846637,-0.10334709505070018,2315,4168,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,VRAI,FAUX,FAUX,FAUX,FAUX,VRAI,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,6.7
9.16006006006006,6.9978296984938755,-0.20247273634086896,-0.10334709505070018,2315,2627,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FAUX,VRAI,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,VRAI,FAUX,FAUX,7.7
3.4366620309856235,7.130794177752326,-0.21100674842295786,-0.10334709505070018,3416,6432,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FAUX,FAUX,VRAI,FAUX,FAUX,VRAI,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,7.4
7.476887288797734,6.926460478105445,-0.1696678172131372,-0.10334709505070018,3509,5854,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FAUX,FAUX,VRAI,FAUX,FAUX,VRAI,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,7.0
9.23933933933934,6.9978296984938755,-0.21068378802288115,-0.10334709505070018,3277,4681,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,FAUX,VRAI,FAUX,FAUX,FAUX,VRAI,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,7.8
2.7403404396841724,6.835499772829763,0.8499950611624317,-0.10334709505070018,2403,6000,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FAUX,FAUX,FAUX,VRAI,FAUX,VRAI,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,6.8
6.2533188066375835,6.539642232882213,-0.2004567086871182,-0.10334709505070018,2315,5582,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FAUX,FAUX,FAUX,VRAI,FAUX,VRAI,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,7.5
8.085385385385386,6.9837323507590945,-0.2028712221543585,-0.10334709505070018,439,4604,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,VRAI,FAUX,FAUX,FAUX,FAUX,VRAI,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,7.8
6.874925222483343,6.582380178878635,0.7982445018168043,0.43182133666710926,2293,1243,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FAUX,FAUX,FAUX,VRAI,FAUX,VRAI,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,6.5
5.046346346346347,6.865357338303368,-0.20422458002134666,-0.10334709505070018,958,2325,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FAUX,VRAI,FAUX,FAUX,FAUX,VRAI,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,7.0
6.809069215734262,6.693419597933102,-0.1711903448134989,-0.10334709505070018,1281,1665,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FAUX,FAUX,FAUX,VRAI,FAUX,VRAI,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,4.7
3.7594736755943656,6.6680748699687555,-0.06779687958893629,-0.10334709505070018,2647,2009,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FAUX,FAUX,FAUX,FAUX,VRAI,VRAI,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,7.0
4.887787787787788,6.474100609701765,-0.2109606112229469,-0.10334709505070018,3011,4863,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,FAUX,FAUX,FAUX,VRAI,FAUX,VRAI,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,6.9
1.1352352352352353,7.158260357038578,-0.20728501428874038,-0.10334709505070018,2315,886,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,FAUX,VRAI,FAUX,FAUX,FAUX,VRAI,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,5.1
6.253458180497567,7.26618975306838,-0.18293995174962352,-0.10334709505070018,2426,1289,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FAUX,FAUX,VRAI,FAUX,FAUX,VRAI,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,5.0
1.8839839839839843,6.9978296984938755,-0.21116053908966106,-0.10334709505070018,689,297,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FAUX,FAUX,VRAI,FAUX,FAUX,VRAI,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,6.7
5.570470470470472,7.04886372048379,-0.20968414868931032,-0.10334709505070018,2315,3945,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,FAUX,FAUX,VRAI,FAUX,FAUX,VRAI,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,6.9
9.626926926926927,7.219629111940455,-0.16223972801137254,-0.10334709505070018,2582,5996,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,FAUX,VRAI,FAUX,FAUX,FAUX,VRAI,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,8.9
3.3537377079124995,6.9978296984938755,-0.13851644113773676,-0.10334709505070018,2315,4471,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FAUX,VRAI,FAUX,FAUX,FAUX,VRAI,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,6.85
1.46668506251008,7.343585708076992,-0.2101147625560793,-0.10334709505070018,2212,4484,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FAUX,FAUX,FAUX,VRAI,FAUX,VRAI,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,4.5
1.4809560732399782,6.425368564660117,-0.20594703548842253,-0.10334709505070018,1025,998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,FAUX,FAUX,VRAI,FAUX,FAUX,VRAI,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,4.3
7.154272163582927,6.903267172841425,-0.2101916578894309,-0.10334709505070018,3039,4681,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FAUX,FAUX,VRAI,FAUX,FAUX,VRAI,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,8.2
3.416716716716717,6.9978296984938755,-0.21149887855640812,-0.10334709505070018,1510,907,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FAUX,VRAI,FAUX,FAUX,FAUX,VRAI,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,7.2
9.01911911911912,6.605155524839436,-0.20756183748880613,-0.10334709505070018,2315,3348,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FAUX,FAUX,VRAI,FAUX,FAUX,VRAI,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,7.7
5.5,7.195779840207795,-0.20945346268925552,-0.10334709505070018,2798,1847,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,FAUX,VRAI,FAUX,FAUX,FAUX,VRAI,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,6.9
6.391090372021267,7.170303302699562,-0.19467417961907782,-0.10334709505070018,2459,957,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FAUX,FAUX,FAUX,VRAI,FAUX,VRAI,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,5.4
7.842520330527483,7.118296419271411,-0.03511636291450589,-0.10334709505070018,2315,1732,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FAUX,FAUX,FAUX,FAUX,VRAI,VRAI,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,7.6
7.120820820820821,6.606110979149756,-0.2098225602893432,-0.10334709505070018,3242,1007,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,FAUX,VRAI,FAUX,FAUX,FAUX,VRAI,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,6.5
3.263566712481738,6.75979753651135,-0.18081764054911934,-0.10334709505070018,2315,6330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,VRAI,FAUX,FAUX,FAUX,FAUX,VRAI,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,7.4
1.30995594479888,6.639502371869984,-0.20008761108703052,-0.10334709505070018,2315,2257,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,FAUX,FAUX,VRAI,FAUX,FAUX,VRAI,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,7.6
9.433133133133133,7.513512796366335,-0.2116219110897707,-0.10334709505070018,2315,1390,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,FAUX,FAUX,VRAI,FAUX,FAUX,VRAI,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,8.3
7.195695695695697,7.008096017014749,-0.19436659828567143,-0.10334709505070018,897,5621,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,FAUX,VRAI,FAUX,FAUX,FAUX,VRAI,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,7.0
4.483942932854845,7.153228581418489,-0.2080539676222564,-0.10334709505070018,2315,6258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,FAUX,VRAI,FAUX,FAUX,FAUX,VRAI,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,6.8
